time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
0.0 , 0.0 , 0.0 , 0.0 , 6.11 , 0.0 , 16.0 , 16.0
1.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.109999999999999 , 0.0 , 15.999999825020472 , 14.818474157304866
2.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.11 , 0.0 , 15.999224336089519 , 14.098516484119735
3.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.11 , 0.0 , 15.997976926236229 , 13.65882737708986
4.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.11 , 0.0 , 15.996441614128292 , 13.389287464092622
5.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.110219999999999 , 0.0 , 15.994730393341989 , 13.223119774616862
6.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.132219999999998 , 0.0 , 15.992911047339234 , 13.119726834140451
7.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.154219999999997 , 0.0 , 15.991025213920981 , 13.054479635907736
8.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.176219999999997 , 0.0 , 15.98909779238151 , 13.012398849762794
9.0 , 1.0 , 1.0E-7 , 1.0E-7 , 6.198219999999997 , 0.0 , 15.987144015628648 , 12.98439496366668
